dmc,anchor,description,red,green,blue,hexValue
3722,1027,Shell Pink Medium,188,108,100,BC6C64
3726,1018,Antique Mauve Dark,155,91,102,9B5B66
3727,1016,Antique Mauve Light,219,169,178,DBA9B2
3731,76,Dusty Rose Very Dark,218,103,131,DA6783
3733,75,Dusty Rose,232,135,155,E8879B
3740,873,Antique Violet Dark,120,87,98,785762
3743,869,Antique Violet Very Light,215,203,211,D7CBD3
3746,1030,Blue Violet Dark,119,107,152,776B98
3747,120,Blue Violet Very Light,211,215,237,D3D7ED
3750,1036,Antique Blue Very Dark,56,76,94,384C5E
3752,1032,Antique Blue Very Light,199,209,219,C7D1DB
3753,1031,Antique Blue Ultra Very Light,219,226,233,DBE2E9
3755,140,Baby Blue,147,180,206,92B4CE
3756,1037,Baby Blue Ultra Very Light,238,252,252,EEFCFC
3760,169,Wedgewood Medium,62,133,162,3E85A2
3761,928,Sky Blue Light,172,216,226,ACD8E2
3765,170,Peacock Blue Very Dark,52,127,140,347F8C
3766,167,Peacock Blue Light,153,207,217,99CFD9
3768,779,Gray Green Dark,101,127,127,657F7F
3770,1009,Tawny Very Light,255,238,227,FFEEE3
3771,336,Terra Cotta Ultra Very Light,244,187,169,F4BBA9
3772,1007,Desert Sand Very Dark,160,108,80,A06C50
3773,1008,Desert Sand Dark,182,117,82,B67552
3774,778,Desert Sand Very Light,243,225,215,F3E1D7
3776,1048,Mahogany Light,207,121,57,CF7939
3777,1015,Terra Cotta Very Dark,134,48,34,863022
3778,1013,Terra Cotta Light,217,137,120,D98978
3779,1012,Rosewood Ultra Very Light,248,202,200,F8CAC8
3781,904,Mocha Brown Dark,107,87,67,6B5743
3782,899,Mocha Brown Light,210,188,166,D2BCA6
3787,273,Brown Gray Dark,98,93,80,625D50
3790,393,Beige Gray Ultra Dark,127,106,85,7F6A55
3799,236,Pewter Gray Very Dark,66,66,66,424242
3801,1098,Melon Very Dark,231,73,103,E74967
3802,1019,Antique Mauve Very Dark,113,65,73,714149
3803,972,Mauve Dark,171,51,87,AB3357
3804,63,Cyclamen Pink Dark,224,40,118,E02876
3805,62,Cyclamen Pink,243,71,139,F3478B
3806,62,Cyclamen Pink Light,255,140,174,FF8CAE
3807,122,Cornflower Blue,96,103,140,60678C
3808,1068,Turquoise Ultra Very Dark,54,105,112,366970
3809,1066,Turquoise Very Dark,63,124,133,3F7C85
3810,1066,Turquoise Dark,72,142,154,488E9A
3811,1060,Turquoise Very Light,188,227,230,BCE3E6
3812,188,Sea Green Very Dark,47,140,132,2F8C84
3813,875,Blue Green Light,178,212,189,B2D4BD
3814,1074,Aquamarine,80,139,125,508B7D
3815,877,Celadon Green Dark,71,119,89,477759
3816,876,Celadon Green,101,165,125,65A57D
3817,875,Celadon Green Light,153,195,170,99C3AA
3818,923,Emerald Green Ultra Very Dark,17,90,59,115A3B
3819,278,Moss Green Light,224,232,104,E0E868
3820,306,Straw Dark,223,182,95,DFB65F
3821,305,Straw,243,206,117,F3CE75
3822,295,Straw Light,246,220,152,F6DC98
3823,386,Yellow Ultra Pale,255,253,227,FFFDE3
3824,8,Apricot Light,254,205,194,FECDC2
3825,323,Pumpkin Pale,253,189,150,FDBD96
3826,1049,Golden Brown,173,114,57,AD7239
3827,311,Golden Brown Pale,247,187,119,F7BB77
